City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tiksi,RU,71.6872,128.8694,55.31,80,100,12.93,overcast clouds
80,Sao Francisco,BR,-15.9486,-44.8644,68.25,56,0,5.68,clear sky
81,Liwonde,MW,-15.0506,35.2035,64.02,58,0,3.36,clear sky
82,Hambantota,LK,6.1241,81.1185,84.33,65,96,19.28,overcast clouds
83,Torbay,CA,47.6666,-52.7314,66.97,77,75,16.11,light rain
84,Jining,CN,35.405,116.5814,83.39,66,99,8.16,overcast clouds
85,Vinh Long,VN,10.25,105.9667,87.78,55,100,4.79,overcast clouds
86,Kemijarvi,FI,66.7131,27.4306,53.6,95,100,9.57,light rain
87,Arrecife,ES,28.963,-13.5477,78.87,83,0,24.16,clear sky
88,New Norfolk,AU,-42.7826,147.0587,57.92,46,72,1.77,broken clouds
89,Sakakah,SA,29.9697,40.2064,78.37,22,0,4.99,clear sky
90,Georgetown,MY,5.4112,100.3354,80.53,83,40,5.75,moderate rain
91,Paralimni,CY,35.0375,33.9833,79.09,72,0,1.01,clear sky
92,Tabou,CI,4.423,-7.3528,73.67,82,100,3.4,overcast clouds
93,Aykhal,RU,66.0,111.5,64.13,55,100,5.32,overcast clouds
94,Khunti,IN,23.0833,85.2833,78.91,75,56,7.81,broken clouds
95,Hamilton,US,39.1834,-84.5333,77.85,89,90,5.75,overcast clouds
96,Freeport,US,40.6576,-73.5832,80.11,92,90,8.01,overcast clouds
97,Roald,NO,62.5833,6.1333,56.16,82,40,10.36,scattered clouds
98,Tazmalt,DZ,36.3868,4.3989,74.79,63,0,1.68,clear sky
99,Bouca,CF,6.5105,18.2733,68.9,96,100,3.33,overcast clouds
100,Odoyev,RU,53.9393,36.6864,62.92,95,97,4.25,overcast clouds
101,Upernavik,GL,72.7868,-56.1549,40.5,84,85,7.96,overcast clouds
102,Bredasdorp,ZA,-34.5322,20.0403,52.92,76,100,5.75,light rain
103,Panaba,MX,21.2833,-88.2667,80.49,72,100,13.42,overcast clouds
104,Mataura,NZ,-46.1927,168.8643,47.48,81,100,8.08,overcast clouds
105,Ayaviri,PE,-14.8864,-70.5889,41.7,44,3,1.59,clear sky
106,Port Elizabeth,ZA,-33.918,25.5701,53.89,94,90,3.44,moderate rain
107,Mirnyy,RU,62.5353,113.9611,64.81,57,85,3.6,light rain
108,Constitucion,CL,-35.3333,-72.4167,52.14,96,99,8.63,overcast clouds
109,Mitu,CO,1.1983,-70.1733,70.36,99,98,2.39,very heavy rain
110,Hithadhoo,MV,-0.6,73.0833,81.91,70,38,5.97,scattered clouds
111,Palaikastron,GR,35.2,26.25,77.05,86,0,11.59,clear sky
112,Luderitz,NA,-26.6481,15.1594,52.47,87,2,10.2,clear sky
113,Samsun,TR,41.25,36.3333,66.96,94,20,2.3,few clouds
